00:26:38 outputs: 0 | orchestrator: running
00:26:43 outputs: 0 | orchestrator: running
00:26:48 outputs: 0 | orchestrator: running
00:26:53 outputs: 0 | orchestrator: running
00:26:58 outputs: 0 | orchestrator: running
00:27:03 outputs: 0 | orchestrator: running
00:27:08 outputs: 0 | orchestrator: running
00:27:13 outputs: 0 | orchestrator: running
00:27:18 outputs: 0 | orchestrator: running
00:27:23 outputs: 0 | orchestrator: running
00:27:28 outputs: 0 | orchestrator: running
00:27:33 outputs: 0 | orchestrator: running
00:27:38 outputs: 0 | orchestrator: running
00:27:43 outputs: 0 | orchestrator: running
00:27:48 outputs: 0 | orchestrator: running
00:27:53 outputs: 0 | orchestrator: running
00:27:58 outputs: 0 | orchestrator: running
00:28:03 outputs: 0 | orchestrator: running
00:28:08 outputs: 0 | orchestrator: running
00:28:13 outputs: 0 | orchestrator: running
00:28:18 outputs: 0 | orchestrator: running
00:28:23 outputs: 0 | orchestrator: running
00:28:28 outputs: 0 | orchestrator: running
00:28:33 outputs: 0 | orchestrator: running
00:28:38 outputs: 0 | orchestrator: running
00:28:43 outputs: 0 | orchestrator: running
00:28:48 outputs: 0 | orchestrator: running
00:28:53 outputs: 0 | orchestrator: running
00:28:58 outputs: 0 | orchestrator: running
00:29:03 outputs: 0 | orchestrator: running
00:29:08 outputs: 0 | orchestrator: running
00:29:13 outputs: 0 | orchestrator: running
00:29:18 outputs: 0 | orchestrator: running
00:29:23 outputs: 0 | orchestrator: running
00:29:28 outputs: 0 | orchestrator: running
00:29:33 outputs: 0 | orchestrator: running
00:29:38 outputs: 0 | orchestrator: running
00:29:43 outputs: 0 | orchestrator: running
00:29:48 outputs: 0 | orchestrator: running
00:29:53 outputs: 0 | orchestrator: running
00:29:58 outputs: 0 | orchestrator: running
00:30:03 outputs: 0 | orchestrator: running
00:30:08 outputs: 0 | orchestrator: running
00:30:13 outputs: 0 | orchestrator: running
00:30:18 outputs: 0 | orchestrator: running
00:30:23 outputs: 0 | orchestrator: running
00:30:28 outputs: 0 | orchestrator: running
00:30:33 outputs: 0 | orchestrator: running
00:30:38 outputs: 0 | orchestrator: running
00:30:43 outputs: 0 | orchestrator: running
00:30:48 outputs: 0 | orchestrator: running
00:30:53 outputs: 0 | orchestrator: running
00:30:58 outputs: 0 | orchestrator: running
00:31:03 outputs: 0 | orchestrator: running
00:31:08 outputs: 0 | orchestrator: running
00:31:13 outputs: 0 | orchestrator: running
00:31:18 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:31:23 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:31:28 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:31:33 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:31:38 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:31:43 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:31:48 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:31:53 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:31:58 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:32:03 start image 1/3: CLIPTextEncode node 6 | outputs: 0 | orchestrator: running
00:32:08 start image 1/3: KSampler node 3 | outputs: 0 | orchestrator: running
00:32:13 start image 1/3: KSampler node 3 | outputs: 0 | orchestrator: running
00:32:18 start image 1/3: sampling 100% | outputs: 0 | orchestrator: running
00:32:23 start image 1/3: sampling 100% | outputs: 0 | orchestrator: running
00:32:28 start image 1/3: complete | outputs: 0 | orchestrator: running
00:35:28 start image 1/3: complete | shot 1/3: high 60% | outputs: 0 | orchestrator: running
00:35:33 start image 1/3: complete | shot 1/3: high 60% | outputs: 0 | orchestrator: running
00:35:38 start image 1/3: complete | shot 1/3: high 70% | outputs: 0 | orchestrator: running
00:35:43 start image 1/3: complete | shot 1/3: high 80% | outputs: 0 | orchestrator: running
00:35:48 start image 1/3: complete | shot 1/3: high 80% | outputs: 0 | orchestrator: running
00:35:53 start image 1/3: complete | shot 1/3: high 90% | outputs: 0 | orchestrator: running
00:35:58 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:36:03 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:36:08 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:36:13 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:36:18 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:36:23 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:36:28 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:36:33 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:36:38 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:36:43 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:36:48 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:36:53 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:36:58 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:37:03 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:37:08 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:37:13 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:37:18 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:37:23 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:37:28 start image 1/3: complete | shot 1/3: high 100% | outputs: 0 | orchestrator: running
00:37:33 start image 1/3: complete | shot 1/3: high 100%, low 10% | outputs: 0 | orchestrator: running
00:37:38 start image 1/3: complete | shot 1/3: high 100%, low 10% | outputs: 0 | orchestrator: running
00:37:43 start image 1/3: complete | shot 1/3: high 100%, low 20% | outputs: 0 | orchestrator: running
00:37:48 start image 1/3: complete | shot 1/3: high 100%, low 30% | outputs: 0 | orchestrator: running
00:37:53 start image 1/3: complete | shot 1/3: high 100%, low 30% | outputs: 0 | orchestrator: running
00:37:58 start image 1/3: complete | shot 1/3: high 100%, low 40% | outputs: 0 | orchestrator: running
00:38:03 start image 1/3: complete | shot 1/3: high 100%, low 50% | outputs: 0 | orchestrator: running
00:38:08 start image 1/3: complete | shot 1/3: high 100%, low 60% | outputs: 0 | orchestrator: running
00:38:13 start image 1/3: complete | shot 1/3: high 100%, low 60% | outputs: 0 | orchestrator: running
00:38:18 start image 1/3: complete | shot 1/3: high 100%, low 70% | outputs: 0 | orchestrator: running
00:38:23 start image 1/3: complete | shot 1/3: high 100%, low 80% | outputs: 0 | orchestrator: running
00:38:28 start image 1/3: complete | shot 1/3: high 100%, low 80% | outputs: 0 | orchestrator: running
00:38:33 start image 1/3: complete | shot 1/3: high 100%, low 90% | outputs: 0 | orchestrator: running
00:38:38 start image 1/3: complete | shot 1/3: high 100%, low 100% | outputs: 0 | orchestrator: running
00:38:43 start image 1/3: complete | shot 1/3: high 100%, low 100% | outputs: 0 | orchestrator: running
00:38:48 start image 1/3: complete | shot 1/3: high 100%, low 100% | outputs: 0 | orchestrator: running
00:38:53 start image 1/3: complete | shot 1/3: high 100%, low 100% | outputs: 0 | orchestrator: running
00:38:58 start image 1/3: complete | shot 1/3: high 100%, low 100% | outputs: 0 | orchestrator: running
00:39:03 start image 1/3: complete | shot 1/3: high 100%, low 100% | outputs: 0 | orchestrator: running
00:39:08 start image 1/3: complete | shot 1/3: complete | shot 2/3: WanImageToVideo node 50 | outputs: 1 | orchestrator: running
00:39:13 start image 1/3: complete | shot 1/3: complete | shot 2/3: WanImageToVideo node 50 | outputs: 1 | orchestrator: running
00:39:18 start image 1/3: complete | shot 1/3: complete | shot 2/3: KSamplerAdvanced node 57 | outputs: 1 | orchestrator: running
00:39:23 start image 1/3: complete | shot 1/3: complete | shot 2/3: KSamplerAdvanced node 57 | outputs: 1 | orchestrator: running
00:39:28 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 10% | outputs: 1 | orchestrator: running
00:39:33 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 20% | outputs: 1 | orchestrator: running
00:39:38 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 20% | outputs: 1 | orchestrator: running
00:39:43 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 30% | outputs: 1 | orchestrator: running
00:39:48 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 40% | outputs: 1 | orchestrator: running
00:39:53 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 40% | outputs: 1 | orchestrator: running
00:39:58 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 50% | outputs: 1 | orchestrator: running
00:40:03 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 60% | outputs: 1 | orchestrator: running
00:40:08 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 70% | outputs: 1 | orchestrator: running
00:40:13 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 70% | outputs: 1 | orchestrator: running
00:40:18 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 80% | outputs: 1 | orchestrator: running
00:40:23 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 90% | outputs: 1 | orchestrator: running
00:40:28 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 90% | outputs: 1 | orchestrator: running
00:40:33 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100% | outputs: 1 | orchestrator: running
00:40:38 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100% | outputs: 1 | orchestrator: running
00:40:43 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100% | outputs: 1 | orchestrator: running
00:40:48 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100% | outputs: 1 | orchestrator: running
00:40:53 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 10% | outputs: 1 | orchestrator: running
00:40:58 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 20% | outputs: 1 | orchestrator: running
00:41:03 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 20% | outputs: 1 | orchestrator: running
00:41:08 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 30% | outputs: 1 | orchestrator: running
00:41:13 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 40% | outputs: 1 | orchestrator: running
00:41:18 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 40% | outputs: 1 | orchestrator: running
00:41:23 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 50% | outputs: 1 | orchestrator: running
00:41:28 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 60% | outputs: 1 | orchestrator: running
00:41:33 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 70% | outputs: 1 | orchestrator: running
00:41:38 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 70% | outputs: 1 | orchestrator: running
00:41:43 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 80% | outputs: 1 | orchestrator: running
00:41:48 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 90% | outputs: 1 | orchestrator: running
00:41:53 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 90% | outputs: 1 | orchestrator: running
00:41:58 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 100% | outputs: 1 | orchestrator: running
00:42:03 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 100% | outputs: 1 | orchestrator: running
00:42:08 start image 1/3: complete | shot 1/3: complete | shot 2/3: high 100%, low 100% | outputs: 1 | orchestrator: running
00:42:13 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: WanImageToVideo node 50 | outputs: 2 | orchestrator: running
00:42:18 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: KSamplerAdvanced node 57 | outputs: 2 | orchestrator: running
00:42:23 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 10% | outputs: 2 | orchestrator: running
00:42:28 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 20% | outputs: 2 | orchestrator: running
00:42:33 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 20% | outputs: 2 | orchestrator: running
00:42:38 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 30% | outputs: 2 | orchestrator: running
00:42:43 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 40% | outputs: 2 | orchestrator: running
00:42:48 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 40% | outputs: 2 | orchestrator: running
00:42:53 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 50% | outputs: 2 | orchestrator: running
00:42:58 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 60% | outputs: 2 | orchestrator: running
00:43:03 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 60% | outputs: 2 | orchestrator: running
00:43:08 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 70% | outputs: 2 | orchestrator: running
00:43:13 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 80% | outputs: 2 | orchestrator: running
00:43:18 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 90% | outputs: 2 | orchestrator: running
00:43:23 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 90% | outputs: 2 | orchestrator: running
00:43:28 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100% | outputs: 2 | orchestrator: running
00:43:33 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 10% | outputs: 2 | orchestrator: running
00:43:38 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 10% | outputs: 2 | orchestrator: running
00:43:43 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 20% | outputs: 2 | orchestrator: running
00:43:48 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 30% | outputs: 2 | orchestrator: running
00:43:53 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 30% | outputs: 2 | orchestrator: running
00:43:58 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 40% | outputs: 2 | orchestrator: running
00:44:03 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 50% | outputs: 2 | orchestrator: running
00:44:08 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 50% | outputs: 2 | orchestrator: running
00:44:13 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 60% | outputs: 2 | orchestrator: running
00:44:18 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 70% | outputs: 2 | orchestrator: running
00:44:23 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 80% | outputs: 2 | orchestrator: running
00:44:28 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 80% | outputs: 2 | orchestrator: running
00:44:33 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 90% | outputs: 2 | orchestrator: running
00:44:38 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 100% | outputs: 2 | orchestrator: running
00:44:43 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 100% | outputs: 2 | orchestrator: running
00:44:48 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 100% | outputs: 2 | orchestrator: running
00:44:53 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: high 100%, low 100% | outputs: 2 | orchestrator: running
00:44:58 start image 1/3: complete | shot 1/3: complete | shot 2/3: complete | shot 3/3: complete | outputs: 4 | assembled: output/adult-bedroom-15s-framed/cozy-bedroom.webm | orchestrator: stopped
